text,label
Congratulations! You've won a free iPhone. Claim now!,1
Your Amazon package has been shipped.,0
Earn $500 daily working from home!,1
Meeting scheduled tomorrow at 10 AM.,0
Verify your account to avoid suspension.,1
Your electricity bill is due.,0
Win cash prizes by participating now!,1
Lunch at 2 PM today?,0
Cheap medicines available! Limited stock!,1
Project deadline extended.,0
You've been selected for a special reward!,1
Doctor appointment confirmed.,0
Get rich quickly with this simple trick!,1
Your bank balance has been updated.,0
Exclusive offer! Buy 1 get 1 free!,1
Parents meeting at school tomorrow.,0
Get a loan approved instantly!,1
Your OTP is 384920.,0
Limited offer! Click to win money!,1
Class test results are out.,0
Claim your free vacation package now!,1
Tomorrow is a holiday.,0
Upgrade your phone storage for cheap!,1
Assignment submission reminder.,0
Free membership for first 100 users!,1
Team meeting rescheduled.,0
Win an iPad by answering 3 questions!,1
Don't forget to bring your ID card.,0
Unlock exclusive benefits! Click here!,1
Can you send the report today?,0
Lowest prices on electronics!,1
Your order has been delivered.,0
Claim bonus rewards instantly!,1
See you at the event today.,0
Free crypto coins available now!,1
Bus arriving in 5 minutes.,0
Massive discount on top brands!,1
Let's meet this weekend.,0
100% free entry! Register now!,1
Your subscription has expired.,0
Win rewards by signing up!,1
I'll call you in 5 minutes.,0
Exclusive deal ends tonight!,1
Your internet connection is restored.,0
Free trial for premium features!,1
Don't forget your appointment.,0
Instant cashback offer available!,1
Movie night at 9 PM?,0
